Result,Depth,Expanded Nodes,Max Fringe Size
A* found a path of 7 moves,7,19,62
A* found a path of 9 moves,9,17,57
A* found a path of 13 moves,13,54,173
A* found a path of 13 moves,13,127,405
A* found a path of 9 moves,9,24,77
A* found a path of 13 moves,13,132,419
A* found a path of 9 moves,9,21,69
A* found a path of 9 moves,9,17,55
A* found a path of 17 moves,17,343,1102
A* found a path of 13 moves,13,29,87
A* found a path of 5 moves,5,5,19
A* found a path of 13 moves,13,40,133
A* found a path of 9 moves,9,9,25
A* found a path of 7 moves,7,7,24
A* found a path of 15 moves,15,249,773
A* found a path of 11 moves,11,21,67
A* found a path of 11 moves,11,94,293
A* found a path of 5 moves,5,5,18
A* found a path of 3 moves,3,3,12
A* found a path of 5 moves,5,5,18
A* found a path of 13 moves,13,34,100
A* found a path of 13 moves,13,69,205
A* found a path of 3 moves,3,3,12
A* found a path of 13 moves,13,13,39
A* found a path of 7 moves,7,7,22
A* found a path of 9 moves,9,18,63
A* found a path of 9 moves,9,47,149
A* found a path of 11 moves,11,63,214
A* found a path of 11 moves,11,84,262
A* found a path of 3 moves,3,3,12
A* found a path of 15 moves,15,442,1393
A* found a path of 11 moves,11,22,67
A* found a path of 9 moves,9,9,31
A* found a path of 5 moves,5,5,17
A* found a path of 13 moves,13,103,309
A* found a path of 5 moves,5,5,20
A* found a path of 13 moves,13,47,137
A* found a path of 7 moves,7,7,24
A* found a path of 13 moves,13,212,671
A* found a path of 13 moves,13,332,1042
A* found a path of 11 moves,11,11,36
A* found a path of 9 moves,9,16,51
A* found a path of 7 moves,7,7,23
A* found a path of 7 moves,7,7,23
A* found a path of 7 moves,7,7,23
A* found a path of 11 moves,11,35,113
A* found a path of 3 moves,3,3,11
A* found a path of 5 moves,5,5,18
A* found a path of 7 moves,7,7,25
A* found a path of 11 moves,11,68,220
A* found a path of 17 moves,17,773,2464
A* found a path of 5 moves,5,5,19
A* found a path of 5 moves,5,5,18
A* found a path of 9 moves,9,21,66
A* found a path of 11 moves,11,46,144
A* found a path of 13 moves,13,65,199
A* found a path of 1 moves,1,1,4
A* found a path of 11 moves,11,32,108
A* found a path of 7 moves,7,14,46
A* found a path of 5 moves,5,5,19
A* found a path of 13 moves,13,45,140
A* found a path of 9 moves,9,24,85
A* found a path of 7 moves,7,11,36
A* found a path of 17 moves,17,1298,4140
A* found a path of 11 moves,11,54,172
A* found a path of 7 moves,7,7,23
A* found a path of 5 moves,5,5,15
A* found a path of 11 moves,11,11,34
A* found a path of 7 moves,7,11,33
A* found a path of 7 moves,7,7,25
A* found a path of 11 moves,11,11,37
A* found a path of 15 moves,15,158,497
A* found a path of 5 moves,5,5,18
A* found a path of 13 moves,13,83,258
A* found a path of 7 moves,7,12,39
A* found a path of 15 moves,15,486,1573
A* found a path of 15 moves,15,158,492
A* found a path of 17 moves,17,314,983
A* found a path of 13 moves,13,242,778
A* found a path of 9 moves,9,17,55
A* found a path of 17 moves,17,680,2156
A* found a path of 5 moves,5,7,23
A* found a path of 13 moves,13,217,695
A* found a path of 13 moves,13,45,140
A* found a path of 7 moves,7,7,23
A* found a path of 19 moves,19,1325,4130
A* found a path of 23 moves,23,16149,50166
A* found a path of 13 moves,13,123,398
A* found a path of 11 moves,11,21,67
A* found a path of 7 moves,7,11,35
A* found a path of 13 moves,13,179,570
A* found a path of 5 moves,5,5,17
A* found a path of 11 moves,11,23,76
A* found a path of 3 moves,3,3,11
A* found a path of 11 moves,11,11,36
A* found a path of 5 moves,5,5,18
A* found a path of 15 moves,15,215,662
A* found a path of 9 moves,9,9,30
A* found a path of 3 moves,3,3,9
A* found a path of 7 moves,7,11,35
A* found a path of 13 moves,13,90,272
A* found a path of 9 moves,9,23,78
A* found a path of 11 moves,11,57,181
A* found a path of 9 moves,9,9,31
A* found a path of 7 moves,7,7,24
A* found a path of 11 moves,11,27,87
A* found a path of 19 moves,19,2144,6617
A* found a path of 11 moves,11,49,153
A* found a path of 11 moves,11,41,137
A* found a path of 5 moves,5,5,18
A* found a path of 9 moves,9,22,68
A* found a path of 17 moves,17,759,2389
A* found a path of 5 moves,5,5,18
A* found a path of 11 moves,11,81,263
A* found a path of 11 moves,11,46,151
A* found a path of 15 moves,15,232,753
A* found a path of 9 moves,9,9,32
A* found a path of 5 moves,5,5,19
A* found a path of 9 moves,9,9,27
A* found a path of 7 moves,7,7,25
A* found a path of 13 moves,13,32,105
A* found a path of 5 moves,5,5,16
